ticker,total_debt,shares_outstanding,total_revenue,debt_to_revenue,revenue_per_share
CNQ,75145000000.0,2083107000.0,41509000000.0,1.8103302898166662,19.92648481331012
COO,10220200000.0,198808921.0,3895400000.0,2.6236586743338295,19.59368815245469
COP,89809000000.0,1235718250.0,54745000000.0,1.6404968490273084,44.30217001326961
CP,90485000000.0,900831248.0,14546000000.0,6.220610477107108,16.147308424629603
CPRT,,967834374.0,4646958000.0,,4.801397971426049
CPT,,106395330.0,1543842000.0,,14.510430110043364
CRH,54830000000.0,669732032.0,35572000000.0,1.5413808613516249,53.113780288770776
CRL,,49215471.0,4049989000.0,,82.29097309665084
CRM,,952000000.0,37895000000.0,,39.805672268907564
CRWD,2321785000.0,250955140.0,3953624000.0,0.5872548831148334,15.754305729701333
CSCO,104026000000.0,3940724908.0,56654000000.0,1.836163377696191,14.376542723138998
CSLLY,40511000000.0,970302788.0,15430000000.0,2.6254698639014906,15.902252565721783
CSUAY,116705000000.0,844370500.0,338375000000.0,0.3448984115256742,400.74232816044616
CSX,74051000000.0,1862136956.0,14540000000.0,5.0929160935350755,7.8082334133107665
CTAS,,401866678.0,10340181000.0,,25.73037667980026
CTRA,,761377552.0,5458000000.0,,7.168585395856273
CTSH,3868000000.0,482646473.0,19736000000.0,0.1959870287798946,40.89121355705007
CTVA,8109000000.0,675732000.0,16908000000.0,0.4795954577714691,25.02175418657101
CVE,33589000000.0,1745535223.0,57726000000.0,0.5818695215327582,33.07065892419405
CVX,90175000000.0,1999353597.0,193414000000.0,0.46622788422761535,96.7382659526633
DAL,74861000000.0,652962768.0,61643000000.0,1.2144282400272537,94.40507640092582
DASH,,406334617.0,10722000000.0,,26.38711926431806
DASTY,,1316411035.0,6213600000.0,,4.720106285040371
DD,26834000000.0,418975324.0,12386000000.0,2.1664782819312127,29.562600206975436
DECK,553950000.0,145744833.0,4985612000.0,0.11110972935719828,34.2078130481648
DELL,94635000000.0,338646945.0,95567000000.0,0.9902476796383689,282.2024571932873
DFKCY,211848000000.0,735400972.0,611477000000.0,0.34645293281676987,831.4878865838649
DHR,64224000000.0,706349563.0,23875000000.0,2.6900104712041886,33.80054473113619
DIFTY,372572000000.0,1325430160.0,1842356000000.0,0.20222584560204435,1390.0060943233705
DLR,65575055000.0,343501552.0,5554968000.0,11.804758371245343,16.171595055849995
DLTR,21267100000.0,203967842.0,17578500000.0,1.2098358790568025,86.18270325181948
DNPLY,513525000000.0,898501014.0,1457609000000.0,0.35230641413438035,1622.2675069791296
DNZOY,,2704027648.0,7161777000000.0,,2648.559087514182
DOCU,,201104117.0,2976739000.0,,14.801979414474145
DOV,10321833000.0,137153223.0,7745909000.0,1.3325528353095808,56.47631773115532
DOW,63909000000.0,710767392.0,42964000000.0,1.4875011637650126,60.44734252524629
DQJCY,1521976000000.0,1493339798.0,2246758000000.0,0.6774098501040166,1504.5189333392425
DSCSY,0.0,1084305510.0,393313000000.0,0.0,362.73263980739154
DSNKY,303996000000.0,1851049073.0,1886256000000.0,0.16116370206377076,1019.0199857548563
DVN,35326000000.0,627300000.0,15940000000.0,2.216185696361355,25.410489399011638
DXCM,9451500000.0,390016272.0,4033000000.0,2.343540788494917,10.34059419961842
EA,5786000000.0,249404562.0,7463000000.0,0.7752914377596141,29.923269807711055
EBAY,28143000000.0,452000000.0,10283000000.0,2.7368472235728873,22.75
ECL,30438400000.0,283235653.0,15741400000.0,1.9336526611356042,55.577042767281846
EDU,1621955000.0,159145747.0,4900262000.0,0.33099352646858476,30.79103332871346
EFX,19872100000.0,122394037.0,5681100000.0,3.4979317385717557,46.416476972648596
EGP,6080031000.0,53348644.0,640234000.0,9.496576251807932,12.000942329480765
EL,30647000000.0,245852896.0,14326000000.0,2.1392572944297084,58.270617239343
ELS,12812968000.0,193828480.0,1433300000.0,8.939487895067327,7.394682143717993
EMR,52206000000.0,561800000.0,18016000000.0,2.8977575488454708,32.06835172659309
EOG,,542598457.0,23378000000.0,,43.085268117524336
EPAM,,55242618.0,4727940000.0,,85.5850097473657
EQIX,65263000000.0,98186078.0,8748000000.0,7.460333790580704,89.09613438271768
EQR,33034472000.0,380474721.0,2980108000.0,11.084991550641789,7.8326044688787615
ERIC,,3071530678.0,247880000000.0,,80.70243340737358
ESLOY,43319000000.0,926087406.0,26508000000.0,1.6341859061415422,28.62364807928292
EW,1997700000.0,580300000.0,5439500000.0,0.36725802003860647,9.373599862140273
EXE,22545000000.0,238169697.0,4221000000.0,5.341151385927505,17.722657639355354
EXPD,1137874000.0,134020931.0,10600515000.0,0.10734138860234621,79.09596598758145
EXPGY,19424000000.0,913226027.0,7523000000.0,2.5819486906819087,8.237829165593853
FANUY,0.0,1866319584.0,797129000000.0,0.0,427.1128089925246
FAST,,1148035721.0,7546000000.0,,6.572966208252678
FCX,33449000000.0,1435930660.0,25455000000.0,1.3140443920644274,17.72717911044535
FDX,110488000000.0,235955461.0,87926000000.0,1.256602142710916,372.6381225819563
FERG,19562000000.0,0.0,30762000000.0,0.6359144398933749,inf
FICO,12127002000.0,23709047.0,1990869000.0,6.091310879821827,83.97085720062894
FJTSY,,1772432855.0,3550116000000.0,,2002.9621940177813
FLEX,13391000000.0,369790328.0,25813000000.0,0.5187696122109015,69.80442171002375
FRCOY,,3068191790.0,3103836000000.0,,1011.6173343909509
FSLR,2047382000.0,107308141.0,4206289000.0,0.4867430649677186,39.19822821271315
FSUGY,16220000000.0,1539482459.0,15420000000.0,1.0518806744487679,10.016353164566976
FSV,5502318000.0,45712236.0,5216894000.0,1.0547114815827194,114.12467331503976
FTNT,2982900000.0,743648102.0,5955800000.0,0.5008395177809866,8.008895583787828
FTV,14355100000.0,317611636.0,6231800000.0,2.3035238614846434,19.620817670546554
FUJHY,1198500000000.0,1442864846.0,4685763000000.0,0.25577477990244063,3247.5411768400654
FUJIY,2804275000000.0,2410404570.0,3195828000000.0,0.8774799519874036,1325.8471377690757
FWONA,9337000000.0,23990946.0,3653000000.0,2.55598138516288,152.26577559717737
FWONK,9337000000.0,223634694.0,3653000000.0,2.55598138516288,16.334674797820057
GBERY,4979300000.0,329623480.0,3085500000.0,1.6137741046831955,9.360680252511138
GDDY,14290400000.0,135141594.0,4573200000.0,3.1248141345228726,33.840062593904285
GEHC,33780000000.0,455521592.0,19672000000.0,1.7171614477429848,43.185658694308394
GEV,2404000000.0,271320459.0,34935000000.0,0.06881351080578217,128.759180670559
GFI,10022600000.0,895024247.0,5201600000.0,1.9268302060904337,5.8116861274262215
GFS,,555681705.0,6750000000.0,,12.147241737965802
GILD,96853000000.0,1240679623.0,28754000000.0,3.3683313625930307,23.17600730031495
GLW,28836000000.0,857360396.0,13118000000.0,2.1982009452660467,15.30045015048724
GNRC,5205931000.0,58684066.0,4295834000.0,1.211855718819675,73.20273274861357
GOOG,61805000000.0,5407000000.0,350018000000.0,0.17657663320172107,64.73423340114667
GOOGL,61805000000.0,5818000000.0,350018000000.0,0.17657663320172107,60.16122378824338
GPC,19574171000.0,139110500.0,23486569000.0,0.8334197728071733,168.83390542051103
GRMN,269772000.0,192334806.0,6296903000.0,0.04284201297050312,32.739279649675055
GSK,62047000000.0,2009000265.0,31376000000.0,1.9775305966343701,15.617718198757927
GVDNY,17409000000.0,461459850.0,7412000000.0,2.348758769562871,16.062069105253684
GWLLY,200074452633.26,855745255.0,199614004631.17,1.0023066918723502,233.26334965324466
GWW,10886000000.0,47549337.0,17168000000.0,0.6340866728797764,361.05655900102244
HAL,29668000000.0,841626610.0,22944000000.0,1.2930613668061366,27.261495451052813
HALMY,2863600000.0,188850837.0,2248100000.0,1.273786753258307,11.904103978104159
HD,229687000000.0,995386647.0,159514000000.0,1.439917499404441,160.25330506568469
HENKY,12841000000.0,1026020688.0,21586000000.0,0.594876308718614,21.038562138622297
HESAY,4409000000.0,1048363650.0,15170000000.0,0.2906394199077126,14.470169773627692
HLN,37967000000.0,4452936617.0,11233000000.0,3.379951927356895,2.5226049607613357
HLTOY,3432600000.0,807706254.0,3590800000.0,0.9559429653559095,4.44567561810658
HNNMY,,7044956875.0,234478000000.0,,33.283099408610646
HOCPY,111849000000.0,338371324.0,885815000000.0,0.1262667712784272,2617.878458282121
HPE,61278000000.0,1319450062.0,30127000000.0,2.0339894446841704,22.83299752499462
HPQ,37898000000.0,934701851.0,53559000000.0,0.7075934950241789,57.30062473151131
HSHCY,112367752878.44,1563625274.0,285981225203.93,0.39292003451734225,182.8962667457689
HSIC,10690000000.0,117724807.0,12673000000.0,0.8435256056182435,107.64935889850301
HSY,20221060000.0,148171608.0,11202263000.0,1.8050870614267849,75.60330316453069
HTHIY,3958222000000.0,4531189651.0,9783370000000.0,0.4045867630479068,2159.117307712089
HTHT,,307668117.0,23891000000.0,,77.65185496942473
HUBB,6246300000.0,53144752.0,5628500000.0,1.1097628142489118,105.90885813146706
HXGBY,14402800000.0,2574127888.0,5401100000.0,2.6666419803373387,2.098225198980479
ICLR,13519591000.0,76359932.0,8281676000.0,1.6324704081637582,108.45578018587025
IDEXY,11825000000.0,12465467072.0,38632000000.0,0.30609339407744873,3.0991217398323894
IDXX,3420776000.0,79851330.0,3897504000.0,0.8776837688941436,48.80950636639365
IEX,7272200000.0,74849436.0,3268800000.0,2.224730788056779,43.671671754480556
IFF,36671000000.0,256096379.0,11484000000.0,3.1932253570184606,44.84249267733692
IFNNY,18152000000.0,1299391231.0,14955000000.0,1.213774657305249,11.50923574302619
IKTSY,3627400000.0,153996854.0,3393200000.0,1.0690203937286338,22.034216361329044
ILMN,8095000000.0,152800000.0,4372000000.0,1.8515553522415371,28.612565445026178
IMO,14263000000.0,496861000.0,48824000000.0,0.2921309192200557,98.26490708669024
IMPUY,10696000000.0,896994543.0,85459000000.0,0.12515943317848324,95.27259743875611
INCY,87088000.0,196322703.0,4241217000.0,0.020533728880177553,21.60329363435873
INFY,1924000000.0,4145309946.0,19277000000.0,0.09980806142034548,4.6503157185149115
INTC,191795000000.0,4770000000.0,53101000000.0,3.611890548200599,11.132285115303983
IP,21658000000.0,528038317.0,18619000000.0,1.163220366292497,35.26069870418135
IR,17601400000.0,395110395.0,7235000000.0,2.432812715964064,18.311338024908203
ISRG,,354496073.0,8352100000.0,,23.560486662993302
IT,,72077145.0,6267411000.0,,86.95420719008779
ITW,30934000000.0,290100000.0,15898000000.0,1.9457793433136243,54.80179248534988
J,8808249000.0,119536469.0,11500941000.0,0.7658720273410672,96.21282187948852
JBHT,5863825000.0,95218346.0,12087204000.0,0.48512666783815345,126.9419655745753
JBL,10569000000.0,106837337.0,29802000000.0,0.354640628145762,278.9474245319312
JCI,37366000000.0,654385440.0,22952000000.0,1.6280062739630534,35.074130011205625
JD,243592000000.0,1418000000.0,1158819000000.0,0.21020711603796624,817.2207334273625
JHX,4086300000.0,579252286.0,3877500000.0,1.0538491295938104,6.693974445532011
JNJ,122431000000.0,2409295102.0,88821000000.0,1.3784015041487936,36.865969605079954
K,23476000000.0,347932629.0,12749000000.0,1.8413993254372891,36.642151202208744
KAOOY,621715000000.0,2269821845.0,1628448000000.0,0.38178375975161627,717.4342795172103
KDP,65146000000.0,1358583125.0,15351000000.0,4.243762621327601,11.299271805690948
KGSPY,9781000000.0,180857973.0,8608000000.0,1.1362685873605949,47.59535815432367
KHNGY,4909000000.0,593653600.0,24802000000.0,0.1979275864849609,41.77857255476931
KLAC,,131392338.0,12156162000.0,,92.5180431753943
KMB,29013000000.0,331858421.0,20058000000.0,1.446455279688902,60.44143746468317
KNYJY,2076600000.0,883299820.0,11098400000.0,0.18710805161104305,12.564703115189133
KOF,274433000000.0,210083226.0,279793000000.0,0.9808429803461844,1331.8197998349474
KRYAY,12295200000.0,161690323.0,6929100000.0,1.774429579599082,42.85414161736816
KVUE,33356000000.0,1915802170.0,15455000000.0,2.1582659333549015,8.067116867291157
KYOCY,931727000000.0,1369522520.0,2014454000000.0,0.4625208617322609,1470.9170317257726
LEN,,223803530.0,35441452000.0,,158.35966483638575
LGRDY,17631800000.0,1310822535.0,8648900000.0,2.0386176276751957,6.598070882264776
LH,25689900000.0,82900000.0,13008900000.0,1.9747941793695085,156.92279855247287
LII,4748500000.0,35072782.0,5341300000.0,0.8890157826746298,152.29188263423185
LIN,83614000000.0,466948930.0,33005000000.0,2.5333737312528406,70.68224784239253
LLY,131308400000.0,895018757.0,45042700000.0,2.915198245220646,50.32598439721862
LNNGY,3872274000.0,103000858.0,28675643000.0,0.13503704171515876,278.40198185533563
LOW,148569000000.0,560824905.0,83674000000.0,1.7755694719984703,149.1980817078728
LRCX,,1256030000.0,18435591000.0,,14.6776677308663
LRLCY,26074500000.0,2668915120.0,43486800000.0,0.5995957393967825,16.293811546917986
LSRCY,,450563130.0,251477000000.0,,558.1393222299392
LULU,3151582000.0,113468082.0,10588126000.0,0.2976524835461913,93.31369503540212
LUV,22815000000.0,517155080.0,27483000000.0,0.8301495469926864,53.142666605924084
LYB,44769000000.0,321872964.0,40302000000.0,1.1108381718028881,125.210889100956
LZAGY,18549000000.0,701455510.0,6574000000.0,2.8215698205050197,9.371941493481176
MAA,19932992000.0,117081742.0,2191015000.0,9.097606360522406,18.713549718110617
MAS,11690000000.0,207695621.0,7828000000.0,1.4933571793561573,37.68976910687972
MCHP,,540446834.0,4401600000.0,,8.144371884691251
MCK,,123426650.0,359051000000.0,,2909.023294401979
MDLZ,70891000000.0,1290358492.0,36441000000.0,1.9453637386460305,28.240989016562384
MDT,111730000000.0,1282616011.0,33537000000.0,3.331544264543638,26.14734239427797
META,126946000000.0,2177889269.0,164501000000.0,0.771703515480149,75.53230659680523
MHGVY,9388100000.0,527290596.0,5566400000.0,1.6865658235125036,10.55660776472486
MHK,9063600000.0,61821362.0,10836900000.0,0.8363646430252194,175.29377628399712
MIELY,721322000000.0,1023174282.0,5521711000000.0,0.13063378362250397,5396.64756741804
MKC,17514700000.0,253239902.0,6723700000.0,2.6049199101685083,26.550713165257818
MKKGY,37411000000.0,646211260.0,21156000000.0,1.7683399508413689,32.73851959806457
MKTAY,,264511045.0,753130000000.0,,2847.253505047398
MLM,21764000000.0,60307143.0,6536000000.0,3.329865361077111,108.37853817747593
MMM,47806000000.0,531225048.0,24575000000.0,1.9453102746693796,46.26099633765763
MMYT,694360000.0,89851697.0,978336000.0,0.7097357145193471,10.888341930815175
MNST,1121853000.0,977021216.0,7492709000.0,0.1497259535903503,7.668931725634093
MPC,109268000000.0,300602479.0,138864000000.0,0.7868706072128125,461.95227817798536
MPNGY,,2763714394.0,337591576000.0,,122.1513976744154
MPWR,,47907000.0,2207100000.0,,46.070511616256496
MRAAY,122423000000.0,3640597878.0,1743352000000.0,0.0702227662571873,478.8642026451239
MRK,135202000000.0,2482022536.0,64168000000.0,2.1070003740182024,25.853109336957285
MRVL,15865500000.0,862100000.0,5767300000.0,2.75094064813691,6.689827166222016
MSFT,177236000000.0,7432377655.0,281724000000.0,0.6291121807158779,37.90496299800847
MSI,22994000000.0,166554998.0,10817000000.0,2.1257280207081446,64.9455142739097
MSTR,28841389000.0,267713485.0,463456000.0,62.23112657943796,1.731164195931333
MTD,7996190000.0,20428445.0,3872361000.0,2.064939193427472,189.55730600150918
MU,,1122466035.0,37378000000.0,,33.299894014164984
NCLTY,636551000000.0,1130116190.0,928828000000.0,0.6853271003888771,821.8871725039174
NDEKY,910000000.0,673659700.0,1013878000000.0,0.0008975438859507752,1505.0299134711488
NDSN,8935000000.0,56186303.0,2689921000.0,3.3216588888669967,47.875031037368664
NEM,31277000000.0,1091262981.0,18682000000.0,1.6741783534953432,17.11961307702419
NHYDY,69509000000.0,1964406631.0,203635000000.0,0.3413411250521767,103.66234606749299
NJDCY,1540971000000.0,4585229388.0,2607813000000.0,0.5909054828701291,568.742101938216
NKE,30504000000.0,1189313611.0,46309000000.0,0.6587056511693191,38.937585151373504
NOK,13387000000.0,5379095249.0,19220000000.0,0.6965140478668054,3.573091590741601
NOW,,207481507.0,10984000000.0,,52.939657894426226
NRILY,865335000000.0,573314079.0,764813000000.0,1.1314334353626312,1334.020963402854
NSC,67727000000.0,224386617.0,12123000000.0,5.586653468613379,54.027286306473435
NSRGY,127120000000.0,2572715039.0,91720000000.0,1.3859572612298299,35.65105291865167
NTAP,10710000000.0,199618386.0,6572000000.0,1.6296409007912356,32.92281904333201
NTOIY,17405000000.0,1536548118.0,20635000000.0,0.8434698328083353,13.429452523009111
NUE,23826000000.0,228858659.0,30734000000.0,0.7752326413743736,134.29249360409824
NVDA,,24347000000.0,130497000000.0,,5.359880067359429
NVO,381961000000.0,3368607341.0,290403000000.0,1.3152791121303844,86.20862291233723
NVR,2952088000.0,2732735.0,10543571000.0,0.2799893887943658,3858.248604420114
NVS,109967000000.0,1918792119.0,51722000000.0,2.126116546150574,26.95549949775461
NVZMY,6907200000.0,411941947.0,3833500000.0,1.801799921742533,9.305922904714533
NWS,,186776414.0,8452000000.0,,45.25196634303087
NWSA,,372519263.0,8452000000.0,,22.6887595877156
NXPI,40385000000.0,251674471.0,12614000000.0,3.201601395275091,50.120300044258364
ODFL,179961000.0,209098439.0,5814810000.0,0.03094873263270855,27.808959396392243
OKTA,3211000000.0,168459019.0,2610000000.0,1.2302681992337166,15.493382399430926
OMC,21515400000.0,192983572.0,15689100000.0,1.3713597338279442,81.2975935588963
OMRNY,507866000000.0,196894506.0,801753000000.0,0.6334444648164709,4071.9927451911735
ON,,408973992.0,7082300000.0,,17.31723810936124
ONC,3177745000.0,101807539.0,3810241000.0,0.8340010513770652,37.425921866159634
ORCL,382558000000.0,2850792605.0,57399000000.0,6.664889632223558,20.134400481931937
ORKLY,66532000000.0,997277314.0,70656000000.0,0.9416326992753623,70.84889930625656
ORLY,26753319000.0,844104092.0,16708479000.0,1.6011821901921772,19.794334796329835
OTIS,31832000000.0,389715851.0,14261000000.0,2.2321015356566862,36.59332809637245
OTSKY,473391000000.0,1056279074.0,2329861000000.0,0.20318422429492575,2205.724848052798
OXY,102722000000.0,985210434.0,26725000000.0,3.843666978484565,27.126184495930744
PAAS,,422047000.0,2818900000.0,,6.67911393754724
PAC,178573737000.0,42948585.0,33614374000.0,5.3124219121260445,782.6654591763617
PANW,,683982694.0,9221500000.0,,13.482066258243663
PCAR,56519200000.0,525204359.0,33663800000.0,1.6789310772996513,64.09657388239613
PCH,3987057000.0,77291016.0,1062076000.0,3.754022311021057,13.741260691928282
PDD,,1419646462.0,393836097000.0,,277.4184330690073
PEP,170003000000.0,1367340122.0,91854000000.0,1.8507958281620833,67.1771408752679
PFE,253553000000.0,5685707552.0,63627000000.0,3.9849906486240116,11.190691645337724
PG,130384000000.0,2336733549.0,84284000000.0,1.5469602771581794,36.06915304317394
PHM,,194916877.0,17946950000.0,,92.07488995424444
PKG,,89977067.0,8383300000.0,,93.17151891603669
PLD,123429071000.0,928867000.0,8201610000.0,15.04937091619816,8.829692517873927
PNR,6711500000.0,163641880.0,4082800000.0,1.6438473596551386,24.94960336559321
PODD,4615000000.0,70346898.0,2071600000.0,2.2277466692411663,29.448348952074618
POOL,4366696000.0,37249484.0,5310953000.0,0.8222057321915671,142.5778945018406
PPG,23150000000.0,224400000.0,15845000000.0,1.4610287156831807,70.61051693404634
PSO,4311000000.0,636393445.0,3552000000.0,1.2136824324324325,5.581452838503074
PSX,78510000000.0,402921135.0,143153000000.0,0.5484341927867387,355.28789027162844
PWR,16540826000.0,149115887.0,23672795000.0,0.6987272098626293,158.75434520266776
Q,0.0,209433618.0,4335000000.0,0.0,20.69868267280757
QCOM,,1071000000.0,44284000000.0,,41.34827264239029
RACE,11412798000.0,177505832.0,6676668000.0,1.7093553251412232,37.61379513434804
RAL,143400000.0,112805827.0,2154700000.0,0.06655218823966214,19.10096364082327
RBGLY,33272000000.0,3369354605.0,14169000000.0,2.348224998235585,4.20525639508935
RCRUY,418891000000.0,7080799810.0,3557478000000.0,0.11774942810609089,502.4118878457602
RDY,162568000000.0,832523765.0,325535000000.0,0.49938716267068056,391.0218707090001
REGN,,103282318.0,14202000000.0,,137.5065962404136
RELX,25851000000.0,1819219297.0,9434000000.0,2.7401950392198433,5.185740946986008
RHHBY,135041000000.0,5517009376.0,62395000000.0,2.1642920105777708,11.309569324175824
RIO,45764000000.0,1254003529.0,53658000000.0,0.8528830742852883,42.789353266644596
RL,6478800000.0,38759382.0,7079000000.0,0.9152140132787117,182.6396509624431
RMD,,145966294.0,5146327000.0,,35.25695459528485
ROK,14978000000.0,112273567.0,8264200000.0,1.812395634181167,73.60770857133274
ROL,,481150554.0,3388708000.0,,7.042926526485928
ROP,30396200000.0,107637430.0,7039200000.0,4.318132742357086,65.39732507548722
ROST,13579669000.0,325226266.0,21129219000.0,0.6426962113460039,64.96775079046044
RSG,51266000000.0,309563599.0,16032000000.0,3.197729540918164,51.78903479539918
RVTY,11789650000.0,113375621.0,2755026000.0,4.279324405649892,24.299985973174955
RYAAY,,527443828.0,13948500000.0,,26.44547013260339
RYN,4266284000.0,153899831.0,1262997000.0,3.377905093994681,8.206617198949361
SAP,,1164604232.0,34176000000.0,,29.345591455827716
SAUHY,1027769000.0,1594508470.0,2503900000.0,0.41046727105715086,1.5703271867850286
SBGSY,52437000000.0,2814177095.0,38153000000.0,1.3743873352029985,13.557426811477903
